time_index,card.nic.pps.avg.r
1605032640000.0,757294
1605032700000.0,749079
1605032760000.0,714146
1605032820000.0,688870
1605032880000.0,691672
1605032940000.0,629947
1605033000000.0,655643
1605033060000.0,625980
1605033120000.0,602839
1605033180000.0,723058
1605033240000.0,715519
1605033300000.0,638339
1605033360000.0,614489
1605033420000.0,620991
1605033480000.0,614002
1605033540000.0,624431
1605033600000.0,732651
1605033660000.0,663657
1605033720000.0,552478
1605033780000.0,558932
1605033840000.0,499978
1605033900000.0,514640
1605033960000.0,517032
1605034020000.0,514518
1605034080000.0,451420
1605034140000.0,623126
1605034200000.0,621574
1605034260000.0,640182
1605034320000.0,554965
1605034380000.0,511265
1605034440000.0,506992
1605034500000.0,476887
1605034560000.0,499958
1605034620000.0,519458
1605034680000.0,518230
1605034740000.0,493630
1605034800000.0,480539
1605034920000.0,538185
1605034980000.0,484223
1605035040000.0,424300
1605035100000.0,416258
1605035160000.0,448376
1605035220000.0,411615
1605035280000.0,429055
1605035340000.0,494329
1605035400000.0,515511
1605035460000.0,515590
1605035520000.0,475617
1605035580000.0,440282
1605035640000.0,466230
1605035700000.0,435214
1605035760000.0,358113
1605035820000.0,342137
1605035880000.0,401258
1605035940000.0,422754
1605036000000.0,279491
1605036120000.0,331649
1605036180000.0,311518
1605036240000.0,352060
1605036300000.0,374869
1605036360000.0,357044
1605036420000.0,398491
1605036480000.0,329624
1605036600000.0,395278
1605036660000.0,390912
1605036720000.0,408884
1605036780000.0,379929
1605036840000.0,396077
1605036900000.0,382094
1605036960000.0,376044
1605037020000.0,349231
1605037080000.0,373713
1605037140000.0,389189
1605037200000.0,364763
1605037260000.0,347296
1605037320000.0,419114
1605037380000.0,319026
1605037500000.0,284469
1605037560000.0,291092
1605037620000.0,280452
1605037680000.0,373609
1605037740000.0,405922
1605037800000.0,386741
1605037860000.0,384022
1605037920000.0,407361
1605037980000.0,390006
1605038040000.0,391752
1605038100000.0,480301
1605038220000.0,404712
1605038280000.0,374813
1605038340000.0,373999
1605038400000.0,375899
1605038460000.0,474654
1605038520000.0,439983
1605038580000.0,400038
1605038640000.0,419430
1605038700000.0,372372
1605038760000.0,431738
1605038820000.0,445750
1605038880000.0,451201
1605038940000.0,460246
1605039000000.0,442094
1605039060000.0,464200
1605039120000.0,455522
1605039180000.0,397246
1605039240000.0,385661
1605039300000.0,385084
1605039360000.0,400421
1605039420000.0,368259
1605039480000.0,296212
1605039540000.0,360306
1605039600000.0,322235
1605039720000.0,385236
1605039780000.0,417946
1605039840000.0,363679
1605039900000.0,409820
